AGENCY,n_chapters,P_total,population,blocks_count,chapters_count,SPAI_weighted,SPAR_weighted
Chinle,15,527345.0807552341,26584,2324,15,4.661436635250253e-5,1.311204399760766
Crownpoint,31,694481.1038781176,34635,5160,31,4.480933788413907e-5,1.2604311842350264
Fort Defiance,26,893577.2112061577,39781,4216,26,3.333671357946326e-5,0.9377204698742023
Shiprock,19,609353.2825293286,27564,3158,19,3.755753879992717e-5,1.0564470563913735
Tuba City,20,700390.1795546329,36080,3618,20,5.925291388476952e-5,1.6667110906718312
