tract_geoid,HTN_crude_prev,DM_crude_prev
04013110400,28.8,10.4
04013110001,28.8,13.7
04013040513,53.3,16
04013092309,31.4,10.8
04013103400,29.2,9.4
04013105102,34.4,10.5
04013104223,34.8,11.6
04013071514,30.1,9.8
04013110901,30.8,10.2
04013082213,24.3,9.5
04013061027,31.2,10.5
04013083000,33.1,16.5
04013106501,27.7,8.4
04013103206,32.6,9.4
04013061064,28.9,9.6
04013082010,26.3,11.1
04013103608,26.4,8.8
04013040507,54.8,17.1
04013050620,26.1,8.1
04013105103,35.1,10
04013109500,28.9,12.6
04013050603,34.7,13.4
04013092308,31.1,11.6
04013061060,26.6,8.4
04013110802,31.1,10.9
04013071512,29.7,9.8
04013061044,28.4,9.2
04013060902,34.9,17.3
04013071509,30.1,9.6
04013082025,26.1,9.3
04013104221,30.4,10.3
04013108902,30.1,11.4
04013103214,32,9.3
04013104100,30.9,11.2
04013103604,33.2,11.7
04012940200,30.9,11.9
04013107601,31,10.3
04013040526,55.6,18.1
04013106802,34.4,13.3
04013104000,31.7,12.2
04013092713,29.9,12.4
04013103701,35.3,13.3
04013108901,28.2,9.8
04013061061,27.5,8.8
04013105004,35.9,10.5
04011960200,22.9,7.6
04009961500,34,12
04012020201,43.5,16.2
04013104202,31.8,10.9
04013105502,30.4,11.2
04013104214,36.3,12.8
04013061062,29.1,9.1
04013071913,34.4,13.7
04013050618,27,8.1
04013103220,29.6,8.8
04013092306,31.6,11.2
04013010103,35.7,11.4
04013109401,27.1,12
04013040514,52.4,16
04013105200,28.8,9.1
04013107401,29.3,9.3
04013112515,25.1,10
04013061046,30.6,12
04013050702,30.3,12
04013105601,28.4,11.3
04013106001,33.5,14.2
04013109802,29.5,13.8
04013106600,31,9
04013105602,30.6,11.7
04013111401,27,11.4
04013092716,29.5,12.7
04013103605,33.8,10
04013040538,30.4,9.5
04013105900,31.9,11.9
04013082027,24.7,9.1
04013112508,29.5,13.9
04013092305,34.7,14.2
04013040530,30.8,9.8
04013112402,29.8,14.5
04011960300,36.5,13.1
04013010104,49.7,15.4
04013061020,28.2,9.2
04013111800,28.3,8.5
04013108501,26,8.7
04013103612,29.7,9.1
04013082022,29.1,11.6
04013103302,28.2,9.9
04013103212,32.1,9.6
04013060903,24.8,9.3
04013061043,26.7,9.8
04013061047,27.2,9
04013093001,35.9,16.6
04013093105,32.2,14.6
04013106002,31.1,11.4
04013071515,35.4,11
04013061057,29.1,10.3
04013071504,54.8,18.1
04013092500,36.4,15.4
04013071914,29,11.3
04013107300,29.4,11.9
04013050614,27.8,9.9
04013105503,28.8,10.3
04013104206,31.1,11.6
04013104702,35.7,14.3
04013071912,34.2,13.5
04013061013,28.4,10.1
04013107202,29.9,13.6
04013040534,50,15.4
04013092715,27.2,11.2
04013092311,33.8,14.4
04013071511,29.3,9.8
04013109300,30.2,14.5
04013050604,31.8,11.8
04013082205,25.1,10.2
04013040539,33.6,10.9
04013109703,28.2,13.1
04013071702,54.6,19.7
04013082002,28.7,11.3
04013103211,32,9.8
04013112516,25.5,10.6
04013109200,29.3,12.4
04013040506,53.5,17
04013040529,53.7,16
04013092312,30.4,10.4
04013109801,28.7,13.4
04012020505,48.1,15.7
04013082026,26.4,9.7
04013110600,26.6,8.8
04012020202,47.1,15.8
04013112510,25.9,10.9
04013061014,26.1,9.3
04013109706,28.6,13.4
04013105300,33.2,11.3
04013061100,13.7,2.9
04013109602,25.9,11.3
04013010102,43.4,13.6
04013082021,28,10.7
04013109102,32.3,15.6
04013109402,31.4,13.8
04011960100,31.8,12
04013109001,29.8,12.9
04013071701,30.6,10.6
04013112302,31.9,15
04013040533,21.2,6.1
04013112521,24.4,9.8
04013104203,28.6,9.7
04013061048,32.2,11.1
04013103305,33.7,16
04013103205,31.4,9.3
04013093104,29.3,12.4
04013106003,32.9,13.1
04013050609,33.3,11.1
04013060904,27.5,11
04013071910,32.2,12.6
04013082017,23.3,8.4
04013108502,24.7,7.2
04013061032,28,9.1
04013103501,32.7,11.1
04013107700,23.9,6.6
04013092710,28.8,10.9
04013061300,33.6,15.4
04013104207,30.2,9.8
04013103900,30.2,10.6
04013103609,29.4,9.9
04013107404,37.8,16
04013103209,30.9,8.6
04013040525,54.6,17.7
04013111501,29.4,13.8
04013082211,25.2,9.6
04013082207,26.3,10.7
04013105002,38.8,12.1
04013109702,31.6,15.2
04013112518,26.8,10.9
04013071505,54.8,20.2
04013104302,31.1,11.2
04012020602,45.8,20.3
04013109002,28.7,11.5
04013112100,27.3,13
04013105501,27.4,10.2
04013092724,35.8,13.5
04013082009,27.3,12
04013106400,30.4,9.4
04013060901,26,9.2
04013103606,34.3,11.9
04013106900,31.7,13.9
04013071516,35.8,11
04013040502,40.5,13.6
04013107001,32,14.1
